Symbol,Name,IPOyear,Sector,Industry
XXII,"22nd Century Group, Inc",n/a,Consumer Non-Durables,Farming/Seeds/Milling
FAX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a
IAF,Aberdeen Australia Equity Fund Inc,n/a,n/a,n/a
CH,"Aberdeen Chile Fund, Inc.",n/a,n/a,n/a
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,n/a,n/a,n/a
FCO,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a
IF,"Aberdeen Indonesia Fund, Inc.",1990,n/a,n/a
ISL,"Aberdeen Israel Fund, Inc.",1992,n/a,n/a
ACU,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components
ATNM,"Actinium Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",n/a,Energy,Oil Refining/Marketing
ACY,AeroCentury Corp.,n/a,Technology,Diversified Commercial Services
AIRI,Air Industries Group,n/a,Capital Goods,Military/Government/Technical
AXU,Alexco Resource Corp,n/a,Basic Industries,Precious Metals
ALO,Alio Gold Inc.,2011,Basic Industries,Precious Metals
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals
APT,"Alpha Pro Tech, Ltd.",n/a,Health Care,Industrial Specialties
AAMC,Altisource Asset Management Corp,n/a,Finance,Real Estate
DIT,AMCON Distributing Company,n/a,Consumer Non-Durables,Food Distributors
ALN,American Lorain Corporation,n/a,Consumer Non-Durables,Packaged Foods
AMS,American Shared Hospital Services,n/a,Health Care,Medical Specialities
USAS,Americas Silver Corporation,2017,Basic Industries,Precious Metals
AMPE,"Ampio Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals
APHB,AmpliPhi Biosciences Corporation,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARNC^,Arconic Inc.,n/a,n/a,n/a
AKG,Asanko Gold Inc.,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AINC,Ashford Inc.,2014,Consumer Services,Professional Services
ASB.WS,Associated Banc-Corp,n/a,n/a,n/a
AST,"Asterias Biotherapeutics, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUG,Auryn Resources Inc.,n/a,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation,n/a,Public Utilities,Environmental Services
ASM,Avino Silver,n/a,Basic Industries,Precious Metals
BTG,B2Gold Corp,n/a,Basic Industries,Precious Metals
BTN,"Ballantyne Strong, Inc",n/a,Miscellaneous,Industrial Machinery/Components
BKJ,"Bancorp of New Jersey, Inc",n/a,Finance,Major Banks
BCV,Bancroft Fund Limited,n/a,n/a,n/a
BCV^A,Bancroft Fund Limited,n/a,n/a,n/a
BHB,"Bar Harbor Bankshares, Inc.",n/a,Finance,Major Banks
BRN,"Barnwell Industries, Inc.",n/a,Energy,Oil & Gas Production
BGSF,BG Staffing Inc,n/a,Technology,Professional Services
BPMX,BioPharmX Corporation,2015,Health Care,Major Pharmaceuticals
BTX,"BioTime, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BTX.WS,"BioTime, Inc.",n/a,n/a,n/a
BGI,Birks Group Inc.,n/a,Consumer Services,Consumer Specialties
BZM,BlackRock Maryland Municipal Bond Trust,2002,n/a,n/a
MHE,BlackRock Massachusetts Tax-Exempt Trust,1993,n/a,n/a
BLE,BlackRock Municipal Income Trust II,2002,n/a,n/a
BLJ,Blackrock New Jersey Municipal Bond Trust,2002,n/a,n/a
BFY,BlackRock New York Municipal Income Trust II,2002,n/a,n/a
BHV,BlackRock Virginia Municipal Bond Trust,2002,n/a,n/a
BDR,"Blonder Tongue Laboratories, Inc.",n/a,Technology,Radio And Television Broadcasting And Communications Equipment
BRG,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts
BRG^A,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a
BRG^C,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a
BRG^D,"Bluerock Residential Growth REIT, Inc.",n/a,n/a,n/a
BVX,Bovie Medical Corporation,n/a,Health Care,Medical/Dental Instruments
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a
CMCL,Caledonia Mining Corporation Plc,n/a,Basic Industries,Precious Metals
CEI,"Camber Energy, Inc.",n/a,Energy,Oil & Gas Production
CANF,Can-Fite Biopharma Ltd,n/a,Health Care,Major Pharmaceuticals
ROX,"Castle Brands, Inc.",2006,Consumer Non-Durables,Beverages (Production/Distribution)
CAW,"CCA Industries, Inc.",n/a,Consumer Non-Durables,Package Goods/Cosmetics
CVM,Cel-Sci Corporation,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVM.WS,Cel-Sci Corporation,n/a,n/a,n/a
CET,Central Securities Corporation,n/a,n/a,n/a
LEU,Centrus Energy Corp.,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CCF,Chase Corporation,n/a,Consumer Durables,Building Products
CQH,"Cheniere Energy Partners LP Holdings, LLC",2013,Public Utilities,Oil/Gas Transmission
CQP,"Cheniere Energy Partners, LP",2007,Public Utilities,Oil/Gas Transmission
LNG,"Cheniere Energy, Inc.",n/a,Public Utilities,Oil/Gas Transmission
CVR,Chicago Rivet & Machine Co.,n/a,Technology,Industrial Machinery/Components
CPHI,"China Pharma Holdings, Inc.",n/a,Health Care,Major Pharmaceuticals
CISN.WS,Cision Ltd.,n/a,n/a,n/a
CKX,"CKX Lands, Inc.",n/a,Energy,Oil & Gas Production
GLV,Clough Global Dividend and Income Fund,2004,n/a,n/a
GLQ,Clough Global Equity Fund,2005,n/a,n/a
GLO,Clough Global Opportunities Fund,2006,n/a,n/a
COHN,Cohen & Company Inc.,n/a,Finance,Investment Bankers/Brokers/Service
MOC,Command Security Corporation,n/a,Consumer Services,Diversified Commercial Services
CIX,CompX International Inc.,1998,Capital Goods,Industrial Machinery/Components
