Symbol,Name,IPOyear,Sector,Industry
DDD,3D Systems Corporation,n/a,Technology,Computer Software: Prepackaged Software
MMM,3M Company,n/a,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,2013,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,2013,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,n/a,Public Utilities,Telecommunications Equipment
AHC,A.H. Belo Corporation,n/a,Consumer Services,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",2014,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",2014,Health Care,Medical Specialities
AIR,AAR Corp.,n/a,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",n/a,Technology,Diversified Commercial Services
ABB,ABB Ltd,n/a,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,n/a,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
GCH,"Aberdeen Greater China Fund, Inc.",1992,n/a,n/a
ACP,Aberdeen Income Credit Strategies Fund,2011,n/a,n/a
JEQ,"Aberdeen Japan Equity Fund, Inc. ",1992,n/a,n/a
SGF,"Aberdeen Singapore Fund, Inc.",1990,n/a,n/a
ABM,ABM Industries Incorporated,n/a,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,n/a,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,n/a,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",2007,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,n/a,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,n/a,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,2016,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,n/a
AGRO,Adecoagro S.A.,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Adient plc,2016,Capital Goods,Auto Parts:O.E.M.
ADT,ADT Inc.,2018,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,n/a,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,n/a,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",2016,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",2014,Capital Goods,Containers/Packaging
ASX,"Advanced Semiconductor Engineering, Inc.",n/a,Technology,Semiconductors
ASIX,AdvanSix Inc.,2016,Basic Industries,Major Chemicals
AAV,Advantage Oil & Gas Ltd,n/a,Energy,Oil & Gas Production
AVK,Advent Claymore Convertible Securities and Income Fund,2003,n/a,n/a
AGC,Advent Claymore Convertible Securities and Income Fund II,2007,n/a,n/a
LCM,Advent/Claymore Enhanced Growth & Income Fund,2005,n/a,n/a
ACM,AECOM,2007,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,2006,Energy,Oil Refining/Marketing
AEB,Aegon NV,n/a,Finance,Life Insurance
AED,Aegon NV,n/a,Finance,Life Insurance
AEG,Aegon NV,n/a,Finance,Life Insurance
AEH,Aegon NV,n/a,Finance,Life Insurance
AEK,Aegon NV,n/a,Finance,Life Insurance
AER,Aercap Holdings N.V.,2006,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",2014,Technology,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",n/a,Capital Goods,Military/Government/Technical
AET,Aetna Inc.,n/a,Health Care,Medical Specialities
AMG,"Affiliated Managers Group, Inc.",n/a,Finance,Investment Managers
AFL,Aflac Incorporated,n/a,Finance,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",2011,n/a,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,n/a
AGCO,AGCO Corporation,n/a,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Agnico Eagle Mines Limited,n/a,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,n/a,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation,2011,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",n/a,Basic Industries,Major Chemicals
AYR,Aircastle Limited,2006,Technology,Diversified Commercial Services
AKS,AK Steel Holding Corporation,n/a,Basic Industries,Steel/Iron Ore
ALP^Q,Alabama Power Company,n/a,n/a,n/a
ALG,"Alamo Group, Inc.",n/a,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,2015,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",n/a,Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,n/a,Basic Industries,Textiles
ALB,Albemarle Corporation,n/a,Basic Industries,Major Chemicals
AA,Alcoa Corporation,2016,Basic Industries,Aluminum
ALEX,"Alexander & Baldwin Holdings, Inc.",n/a,Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",n/a,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",n/a,Consumer Services,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",n/a,n/a,n/a
AQN,Algonquin Power & Utilities Corp.,2016,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services
Y,Alleghany Corporation,n/a,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,n/a,Basic Industries,Steel/Iron Ore
ALLE,Allegion plc,2013,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",n/a,Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,2002,n/a,n/a
ADS,Alliance Data Systems Corporation,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,2002,n/a,n/a
AOI,"Alliance One International, Inc.",n/a,Consumer Services,Farming/Seeds/Milling
AWF,Alliance World Dollar Government Fund II,1993,n/a,n/a
AB,AllianceBernstein Holding L.P.,n/a,Finance,Investment Managers
LNT,Alliant Energy Corporation,n/a,Public Utilities,Power Generation
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,n/a,n/a
NCV,AllianzGI Convertible & Income Fund,2003,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,2003,n/a,n/a
ACV,AllianzGI Diversified Income & Convertible Fund,2015,n/a,n/a
NIE,AllianzGI Equity & Convertible Income Fund,2007,n/a,n/a
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),n/a,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),n/a,n/a,n/a
ALL^B,Allstate Corporation (The),n/a,n/a,n/a
ALL^C,Allstate Corporation (The),n/a,n/a,n/a
ALL^D,Allstate Corporation (The),n/a,n/a,n/a
ALL^E,Allstate Corporation (The),n/a,n/a,n/a
ALL^F,Allstate Corporation (The),n/a,n/a,n/a
ALLY,Ally Financial Inc.,2014,Finance,Finance: Consumer Services
ALLY^A,Ally Financial Inc.,n/a,n/a,n/a
AGD,Alpine Global Dynamic Dividend Fund,2006,n/a,n/a
AWP,Alpine Global Premier Properties Fund,2007,n/a,n/a
AOD,Alpine Total Dynamic Dividend Fund,2007,n/a,n/a
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services
MO,Altria Group,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment
AEE,Ameren Corporation,n/a,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",n/a,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",n/a,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",n/a,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",n/a,Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,2003,Finance,Life Insurance
AXP,American Express Company,n/a,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",n/a,Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",2014,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",2015,Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,2013,Consumer Services,Real Estate Investment Trusts
AMH^C,American Homes 4 Rent,n/a,n/a,n/a
AMH^D,American Homes 4 Rent,n/a,n/a,n/a
AMH^E,American Homes 4 Rent,n/a,n/a,n/a
AMH^F,American Homes 4 Rent,n/a,n/a,n/a
AMH^G,American Homes 4 Rent,n/a,n/a,n/a
AIG,"American International Group, Inc.",n/a,Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a
AMID,"American Midstream Partners, LP",2011,Public Utilities,Natural Gas Distribution
ARL,"American Realty Investors, Inc.",n/a,Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",2016,Health Care,Hospital/Nursing Management
AWR,American States Water Company,n/a,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),n/a,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation,n/a,Basic Industries,Agricultural Chemicals
AWK,American Water Works,2008,Public Utilities,Water Supply
COLD,Americold Realty Trust,2018,Consumer Services,Real Estate Investment Trusts
APU,"AmeriGas Partners, L.P.",n/a,Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",n/a,Finance,Investment Managers
ABC,AmerisourceBergen Corporation (Holding Co),n/a,Health Care,Other Pharmaceuticals
ANFI,Amira Nature Foods Ltd,2012,Consumer Non-Durables,Packaged Foods
AMN,AMN Healthcare Services Inc,n/a,Technology,Professional Services
AP,Ampco-Pittsburgh Corporation,n/a,Capital Goods,Fluid Controls
APH,Amphenol Corporation,n/a,Capital Goods,Electrical Products
AXR,AMREP Corporation,n/a,Consumer Services,Newspapers/Magazines
AME,"AMTEK, Inc.",n/a,Consumer Durables,Metal Fabrications
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,n/a
AFSS,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",2015,Finance,Property-Casualty Insurers
AEUA,Anadarko Petroleum Corporation,2015,Energy,Oil & Gas Production
APC,Anadarko Petroleum Corporation,n/a,Energy,Oil & Gas Production
ANDV,Andeavor,n/a,Energy,Integrated oil Companies
ANDX,Andeavor Logistics LP,2011,Energy,Natural Gas Distribution
AU,AngloGold Ashanti Limited,n/a,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
AXE,Anixter International Inc.,n/a,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,n/a,Consumer Services,Real Estate Investment Trusts
NLY^C,Annaly Capital Management Inc,n/a,n/a,n/a
NLY^D,Annaly Capital Management Inc,n/a,n/a,n/a
